username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save
frg4266a,217,108,8383.887211981568,51,22
BZK3886A,127,349,23854.32944094486,18,10
VGC4458A,167,262,25393.57985628742,99,4
sst4427a,124,68,29323.16565322581,24,14
LFL3795A,713,316,5699.125088359047,186,60
tsn4383a,940,485,3220.8707914893625,338,69
DMM3793A,240,69,15.71485416666667,61,9
ptx4260a,483,225,6274.27356521739,173,44
MLL4409A,24,4,112.17745833333332,9,3
MND3971A,771,717,5214.593704280151,411,48
RGN4429A,323,255,9381.644727554181,47,45
BRP2406A,225,135,10785.224791111112,62,27
BDN4438A,388,224,6245.710775773195,89,57
kcr4364a,2,0,910250.3425,0,0
LHB3409A,541,228,5602.543756007389,110,68
LMN3783A,1,0,0.0,0,0
bbl4356a,838,329,3618.5043341288806,225,66
grn3807a,33,6,18344.54936363636,13,0
BCB4249A,413,250,1474.7691476997595,142,50
scc4332a,104,92,23308.17349038461,23,4
prm4319a,173,141,25.44528323699422,83,14
TRP4325A,183,130,20300.828311475412,39,14
lnl4324a,389,281,5894.725850899745,116,20
grn4091a,111,55,34404.142351351344,19,2
BNF3924A,91,22,13359.576461538463,14,22
