username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,nb_gcc_error,quantite,cluster
WDR4346A,157,40,11585.984783439491,18,6,0.3333333333333333,8.527559055118111,3
DRT3715A,1,0,0.0,0,0,0.0,0.0,3
WWK3556A,5,0,605247.0048,0,0,0.0,0.0,3
LMN3783A,1,0,0.0,0,0,0.0,0.0,3
DLL4509A,151,127,20064.394059602648,17,4,0.0,4.925233644859813,3
kwb3565a,1,0,0.0,0,0,0.0,0.0,3
GRN4091A,8,0,24.830375000000004,0,0,0.0,0.0,3
CSM4205A,68,80,35.775161764705864,25,0,0.0,2.7096774193548385,3
PCD4177A,4,0,364.28225,0,0,0.0,0.0,3
HCK4262A,4,0,605271.962,0,0,1.0,0.0,3
bnf3924a,35,52,42.64151428571429,2,0,0.0,7.8076923076923075,3
nrs3961a,65,61,55888.92850769231,14,5,0.0,6.142857142857143,3
PRC3653A,9,0,403845.6548888889,0,0,0.0,0.0,3
SDS2537A,42,17,100922.23554761906,14,3,0.25,20.384615384615383,3
LMN4243A,7,0,345922.03885714285,0,0,0.0,0.0,3
mhn3989a,81,94,52.89609876543207,23,1,0.0,4.666666666666667,3
NGV4299A,232,159,18277.75662068966,70,19,0.0,12.147727272727272,3
NGD4387A,3,0,202206.601,0,0,0.0,0.0,3
LLF4365A,337,156,8986.468091988128,71,7,0.0,8.227799227799228,3
kcr4364a,2,0,910250.3425,0,0,0.0,0.0,3
gsl4470a,42,11,100960.39219047617,39,4,0.0,13.090909090909092,3
scc4332a,104,92,23308.17349038461,23,4,0.0,14.333333333333334,3
dcg4461a,27,0,112153.09237037036,7,1,0.0,20.666666666666668,3
grn3807a,33,6,18344.54936363636,8,0,0.0,10.916666666666666,3
WTB3923A,8,0,546.95425,0,0,0.0,0.0,3
VGC4458A,167,262,25393.57985628742,29,4,0.0,6.682692307692308,3
grn4091a,111,55,34404.142351351344,14,2,0.0,3.703703703703704,3
MLL4409A,24,4,112.17745833333332,7,3,0.0,10.0,3
MRF4182A,3,0,1119.9203333333332,0,0,0.0,0.0,3
rlt4246a,194,68,19625.701757731957,27,1,0.0,2.9285714285714284,3
LZN3702A,80,6,52993.29253750002,8,3,0.0,11.428571428571429,3
DMT3772A,18,0,223057.25761111116,7,1,0.0,23.6,3
ZZN4362A,1,0,0.0,0,0,0.0,0.0,3
cbr4247a,10,0,71803.4186,0,0,0.0,0.0,3
zzn4362a,3,0,807648.6116666667,0,0,0.4,0.0,3
chn4038a,70,53,8673.740357142859,15,4,0.0,2.5476190476190474,3
ptt4229a,24,0,176669.0402083333,0,0,0.0,0.0,3
BRB4393A,2,0,302795.911,0,0,0.0,0.0,3
SNC4202A,142,149,4254.06135915493,59,3,0.0,4.733333333333333,3
DVL3733A,2,0,301782.442,0,0,0.0,0.0,3
PRM4319A,11,0,197.30909090909088,0,0,0.0,0.0,3
cml4073a,2,0,6.7995,0,0,0.0,0.0,3
TRP4325A,183,130,20300.82831147541,33,14,0.0,9.15841584158416,3
CTQ4266A,6,2,27.258666666666667,1,0,0.0,2.5,3
crk2789a,29,1,125346.88137931032,5,3,0.0,4.75,3
GVT3906A,8,0,302614.72975,0,0,0.0,0.0,3
GRB4008A,35,4,121141.09811428568,4,3,0.0,24.2,3
pmg3834a,7,0,518656.4095714285,0,0,0.0,0.0,3
CJV4447A,2,0,301666.3365,0,0,0.0,0.0,3
gnc4265A,1,0,0.0,0,0,0.0,0.0,3
frn4277a,14,0,230391.24414285715,0,0,0.2,0.0,3
MSD4555A,43,15,49.606302325581375,12,0,0.0,8.75,3
