username,nb_traces,nb_remove,tmp_moy,cp_pst,nb_save,nb_gcc_error,quantite,cluster
scc4332a,104,92,23308.17349038461,23,4,0.0,5.512820512820513,0
SDS2537A,42,17,100922.23554761906,14,3,0.25,14.72222222222222,0
bnf3924a,35,52,42.64151428571429,2,0,0.0,2.114583333333333,0
mhn3989a,81,94,52.89609876543207,46,1,0.0,2.2857142857142856,0
ZZN4362A,1,0,0.0,0,0,0.0,0.0,0
rlt4246a,194,68,19625.701757731957,35,1,0.0,1.0789473684210529,0
LZN3702A,80,6,52993.29253750002,8,3,0.0,3.4782608695652173,0
cbr4247a,10,0,71803.4186,0,0,0.0,0.0,0
MLL4409A,24,4,112.17745833333332,9,3,0.0,7.777777777777778,0
kwb3565a,1,0,0.0,0,0,0.0,0.0,0
GRB4008A,35,4,121141.09811428568,4,3,0.0,17.285714285714285,0
LLF4365A,337,156,8986.468091988128,102,7,0.0,1.6766325727773406,0
CTQ4266A,6,2,27.258666666666667,1,0,0.0,1.0,0
GRN4091A,8,0,24.830375000000004,0,0,0.0,0.0,0
DLL4509A,151,127,20064.394059602648,21,4,0.0,1.3012345679012345,0
WDR4346A,157,40,11585.984783439491,23,6,0.3333333333333333,4.041044776119403,0
CSM4205A,68,80,35.775161764705864,27,0,0.0,1.5555555555555556,0
crk2789a,29,1,125346.88137931032,5,3,0.0,2.375,0
PCD4177A,4,0,364.28225,0,0,0.0,0.0,0
gnc4265A,1,0,0.0,0,0,0.0,0.0,0
MRF4182A,3,0,1119.9203333333332,0,0,0.0,0.0,0
dcg4461a,27,0,112153.09237037036,7,1,0.0,17.714285714285715,0
chn4038a,70,53,8673.740357142859,41,4,0.0,1.7258064516129032,0
DRT3715A,1,0,0.0,0,0,0.0,0.0,0
ptt4229a,24,0,176669.0402083333,0,0,0.0,0.0,0
gsl4470a,42,11,100960.39219047617,39,4,0.0,5.76,0
NGV4299A,232,159,18277.75662068966,81,19,0.0,6.941558441558442,0
TRP4325A,183,130,20300.82831147541,39,14,0.0,2.908805031446541,0
LMN3783A,1,0,0.0,0,0,0.0,0.0,0
nrs3961a,65,61,55888.92850769231,24,5,0.0,2.193877551020408,0
grn4091a,111,55,34404.142351351344,19,2,0.0,1.0344827586206895,0
DMT3772A,18,0,223057.25761111116,7,1,0.0,16.857142857142858,0
LWD4399A,43,206,56402.92374418603,2,4,0.0,43.4,0
frn4277a,14,0,230391.24414285715,0,0,0.2,0.0,0
NGD4387A,3,0,202206.601,0,0,0.0,0.0,0
VGC4458A,167,262,25393.57985628742,99,4,0.0,2.2063492063492065,0
SNC4202A,142,149,4254.06135915493,142,3,0.0,1.9722222222222223,0
grn3807a,33,6,18344.54936363636,13,0,0.0,9.357142857142858,0
PRM4319A,11,0,197.30909090909088,0,0,0.0,0.0,0
MSD4555A,43,15,49.606302325581375,14,0,0.0,5.6,0
cml4073a,2,0,6.7995,0,0,0.0,0.0,0
WTB3923A,8,0,546.95425,0,0,0.0,0.0,0
